YEAR,MONTH_NAME,BEGIN_HOUR,STATE,WFO,TOR_LENGTH,TOR_WIDTH,DURATION_MINUTES,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,HIGH_PROPERTY_DAMAGE
2007,July,4,TEXAS,EWX,2.0,150.0,4,9.0,S,29.4399,-97.97,29.4688,-97.97,0
2007,December,10,MISSISSIPPI,JAN,1.91,150.0,4,4.0,SW,31.6879,-89.2756,31.7085,-89.2538,1
2007,January,7,TEXAS,EWX,0.75,200.0,2,3.0,SW,29.8734,-97.9307,29.8785,-97.9248,0
2007,July,1,TEXAS,EWX,0.5,50.0,5,8.0,NE,29.5018,-98.4061,29.5069,-98.4002,0
2007,June,20,KANSAS,DDC,0.8,50.0,2,3.0,S,37.1439,-101.35,37.1323,-101.35,0
2007,December,9,MISSISSIPPI,JAN,5.03,200.0,10,1.0,S,31.6114,-90.3718,31.6299,-90.2891,1
2007,December,10,MISSISSIPPI,JAN,7.16,500.0,9,0.0,SSW,31.6263,-89.5525,31.6814,-89.4493,1
2007,December,10,MISSISSIPPI,JAN,0.44,100.0,1,6.0,S,31.65,-89.45,31.6551,-89.4457,0
2007,December,8,MISSISSIPPI,JAN,2.24,50.0,4,2.0,WSW,31.7746,-90.4487,31.7793,-90.411,0
2007,December,15,LOUISIANA,LIX,0.2,25.0,5,0.0,N,29.53,-90.75,29.53,-90.75,0
2007,May,19,SOUTH DAKOTA,FSD,0.2,50.0,1,1.0,E,43.72,-97.66,43.72,-97.656,0
2007,April,19,TEXAS,AMA,3.33,440.0,10,2.0,S,34.7511,-101.55,34.7911,-101.5175,0
2007,April,19,TEXAS,AMA,12.23,440.0,15,4.0,E,35.85,-101.8987,35.9622,-101.73,0
2007,April,17,TEXAS,AMA,3.57,880.0,8,4.0,W,35.53,-102.3211,35.5811,-102.3128,0
2007,April,19,TEXAS,AMA,2.01,1320.0,3,4.0,E,36.02,-101.6585,36.0477,-101.6474,0
2007,April,19,TEXAS,AMA,7.3,1320.0,11,19.0,SE,36.2258,-101.8289,36.3259,-101.788,0
2007,April,20,TEXAS,AMA,0.5,440.0,2,9.0,ENE,35.1698,-101.223,35.1726,-101.2148,0
2007,May,18,SOUTH DAKOTA,FSD,1.0,100.0,3,4.0,W,43.87,-97.4302,43.87,-97.4102,0
2007,April,19,TEXAS,AMA,2.0,704.0,3,6.0,SW,35.9587,-101.8058,35.9791,-101.7805,0
2007,April,20,TEXAS,AMA,4.21,50.0,5,10.0,E,35.12,-101.1933,35.1809,-101.1903,0
2007,April,20,TEXAS,AMA,12.7,50.0,20,15.0,W,35.22,-100.9954,35.3933,-101.07,0
2007,April,17,TEXAS,FWD,1.1,30.0,3,1.0,E,32.97,-97.3345,32.97,-97.3155,0
2007,April,16,FLORIDA,MFL,0.62,75.0,5,2.0,W,26.52,-80.08,26.52,-80.07,0
2007,June,14,SOUTH CAROLINA,CAE,1.1,80.0,8,1.0,NNW,34.48,-81.125,34.47,-81.11,0
2007,June,23,LOUISIANA,JAN,1.8,400.0,2,0.0,N,32.8,-91.18,32.826,-91.18,1
2007,March,18,TEXAS,MAF,2.0,75.0,5,20.0,SE,30.6755,-102.632,30.6755,-102.632,0
2007,June,13,TEXAS,EPZ,0.19,100.0,5,7.0,ESE,31.134,-105.2464,31.1313,-105.2464,0
2007,May,15,LOUISIANA,JAN,0.5,50.0,1,6.0,NE,32.8413,-91.827,32.8464,-91.8209,0
2007,March,17,NEBRASKA,LBF,0.1,20.0,0,2.0,NE,40.5404,-100.9931,40.5404,-100.9931,0
2007,May,14,OHIO,CLE,0.25,30.0,0,1.0,N,41.3345,-83.65,41.3345,-83.65,0
2007,May,13,ILLINOIS,ILX,2.5,30.0,10,5.0,N,39.3723,-87.98,39.3811,-87.9461,0
2007,May,15,LOUISIANA,JAN,2.0,75.0,2,5.0,WNW,32.9449,-91.9516,32.9558,-91.9226,1
2007,April,17,MISSOURI,SGF,2.83,25.0,1,2.0,SW,37.3796,-94.1257,37.4204,-94.1257,0
2007,May,16,ARKANSAS,JAN,5.0,400.0,5,5.0,SE,33.2989,-91.8188,33.35,-91.7935,1
2007,July,5,FLORIDA,TBW,0.2,30.0,2,0.0,SW,29.129,-83.0512,29.131,-83.0488,0
2007,March,19,NEW MEXICO,MAF,0.1,20.0,0,10.0,ESE,32.5747,-104.2115,32.5747,-104.2115,0
2007,June,19,SOUTH DAKOTA,ABR,0.1,10.0,2,7.0,NW,45.4,-100.22,45.4,-100.22,0
2007,August,13,NORTH DAKOTA,FGF,5.0,100.0,8,2.0,NNW,48.1767,-98.1366,48.15,-98.055,0
2007,June,20,OKLAHOMA,AMA,2.24,50.0,7,1.0,NNE,36.8834,-101.0131,36.8589,-100.9866,0
2007,June,17,MINNESOTA,FSD,0.5,100.0,2,9.0,N,44.3601,-95.62,44.3673,-95.62,0
2007,August,13,NORTH DAKOTA,FGF,1.0,100.0,2,15.0,WSW,48.237,-98.221,48.1769,-98.1349,0
2007,July,20,IOWA,DMX,0.1,30.0,0,2.0,WSW,42.51,-94.79,42.51,-94.79,0
2007,June,19,SOUTH DAKOTA,ABR,0.1,10.0,1,7.0,ENE,45.36,-99.83,45.36,-99.83,0
2007,June,19,SOUTH DAKOTA,ABR,0.1,10.0,3,10.0,ESE,45.42,-99.72,45.42,-99.72,0
2007,June,19,SOUTH DAKOTA,ABR,0.2,20.0,6,8.0,E,45.49,-99.73,45.49,-99.73,0
2007,August,13,NORTH DAKOTA,FGF,1.0,25.0,2,4.0,NNE,47.9734,-98.767,47.9868,-98.7587,0
2007,August,13,NORTH DAKOTA,FGF,0.5,25.0,1,8.0,SW,47.9882,-98.7523,47.9933,-98.7447,0
2007,August,13,NORTH DAKOTA,FGF,4.09,50.0,10,1.0,ENE,47.8355,-98.4101,47.8811,-98.3538,0
2007,March,20,TEXAS,MAF,2.0,50.0,5,7.0,N,31.3212,-101.9,31.3018,-101.8043,0
2007,July,13,FLORIDA,TBW,0.2,30.0,1,10.0,E,27.0,-81.9094,27.0,-81.9094,0
2007,June,0,MINNESOTA,FSD,0.2,50.0,2,1.0,W,43.62,-96.39,43.62,-96.386,0
2007,June,17,LOUISIANA,LIX,0.1,20.0,5,0.0,N,30.22,-91.1,30.22,-91.1,0
2007,June,10,ARKANSAS,TSA,0.6,250.0,1,3.0,SW,35.4893,-94.4077,35.5034,-94.4192,0
2007,August,16,TEXAS,EWX,0.5,50.0,4,9.0,N,29.9101,-98.73,29.9173,-98.73,0
2007,August,17,SOUTH DAKOTA,ABR,0.3,20.0,3,6.0,NW,45.54,-100.81,45.54,-100.81,0
2007,August,17,SOUTH DAKOTA,ABR,0.2,10.0,3,5.0,NNW,45.54,-100.77,45.54,-100.77,0
2007,August,20,SOUTH DAKOTA,ABR,0.1,10.0,2,8.0,SE,45.26,-99.85,45.26,-99.85,0
2007,June,16,KANSAS,SGF,0.1,50.0,2,2.0,W,37.3,-94.8063,37.3,-94.8063,0
2007,May,19,KANSAS,DDC,0.88,50.0,2,6.0,NE,39.08,-99.8,39.07,-99.79,0
2007,May,20,KANSAS,DDC,0.54,30.0,1,6.0,N,38.95,-99.32,38.95,-99.31,0
2007,June,12,MISSOURI,SGF,0.75,50.0,2,2.0,SW,37.4596,-93.5758,37.4596,-93.5758,0
2007,June,14,MISSOURI,SGF,0.1,50.0,0,1.0,SSW,37.0,-93.23,37.0,-93.23,0
2007,June,16,MISSOURI,SGF,0.1,50.0,0,1.0,NE,37.34,-92.91,37.34,-92.91,0
2007,July,15,OKLAHOMA,TSA,0.25,50.0,2,3.0,E,35.5,-95.2467,35.5,-95.2467,1
2007,August,16,MISSOURI,LSX,0.1,10.0,0,1.0,S,39.9555,-91.67,39.9555,-91.67,0
2007,May,17,KANSAS,DDC,0.55,30.0,1,2.0,SE,37.8,-99.31,37.8,-99.3,0
